Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
8,Entry long,2023-01-25 06:00,L,1.09077,9086.53,9911.314328,-46.61,-0.47,3.36,0.03,-46.61,-0.47,-135.29,-1.35
9,Exit long,2023-02-01 19:00,X,1.09814,9065.66,9864.707272,90.66,0.92,90.66,0.92,-10.52,-0.11,-44.63,-0.45
9,Entry long,2023-02-01 07:00,L,1.08814,9065.66,9864.707272,90.66,0.92,90.66,0.92,-10.52,-0.11,-44.63,-0.45
10,Exit long,2023-02-02 14:00,X,1.0928,9067.39,9955.359503,-46.52,-0.47,48.69,0.49,-46.52,-0.47,-91.15,-0.91
10,Entry long,2023-02-01 19:00,L,1.09793,9067.39,9955.359503,-46.52,-0.47,48.69,0.49,-46.52,-0.47,-91.15,-0.91
11,Exit long,2023-02-10 00:00,X,1.07276,9192.82,9908.84875,-47.16,-0.48,11.22,0.11,-47.16,-0.48,-138.31,-1.38
11,Entry long,2023-02-09 10:00,L,1.07789,9192.82,9908.84875,-47.16,-0.48,11.22,0.11,-47.16,-0.48,-138.31,-1.38
12,Exit long,2023-02-14 15:00,time,1.07145,9198.56,9861.68419,-5.89,-0.06,77.08,0.78,-12.97,-0.13,-144.19,-1.44
12,Entry long,2023-02-13 15:00,L,1.07209,9198.56,9861.68419,-5.89,-0.06,77.08,0.78,-12.97,-0.13,-144.19,-1.44
13,Exit long,2023-02-21 07:00,time,1.06685,9208.36,9855.799792,-31.86,-0.32,1.57,0.02,-39.6,-0.40,-176.06,-1.76
13,Entry long,2023-02-20 07:00,L,1.07031,9208.36,9855.799792,-31.86,-0.32,1.57,0.02,-39.6,-0.40,-176.06,-1.76
14,Exit long,2023-02-28 14:00,time,1.06331,9275.66,9823.944263,38.96,0.40,46.19,0.47,-10.67,-0.11,-137.1,-1.37
14,Entry long,2023-02-27 14:00,L,1.05911,9275.66,9823.944263,38.96,0.40,46.19,0.47,-10.67,-0.11,-137.1,-1.37
15,Exit long,2023-03-02 09:00,X,1.06198,9242.62,9862.892228,-47.41,-0.48,18.85,0.19,-47.41,-0.48,-184.51,-1.85
15,Entry long,2023-03-01 11:00,L,1.06711,9242.62,9862.892228,-47.41,-0.48,18.85,0.19,-47.41,-0.48,-184.51,-1.85
16,Exit long,2023-03-07 14:00,time,1.06467,9198.71,9815.483506,-21.89,-0.22,22.17,0.23,-27.87,-0.28,-206.4,-2.06
16,Entry long,2023-03-06 14:00,L,1.06705,9198.71,9815.483506,-21.89,-0.22,22.17,0.23,-27.87,-0.28,-206.4,-2.06
17,Exit long,2023-03-10 15:00,X,1.06911,9247,9793.59017,92.47,0.94,92.47,0.94,-17.29,-0.18,-113.93,-1.14
17,Entry long,2023-03-09 18:00,L,1.05911,9247,9793.59017,92.47,0.94,92.47,0.94,-17.29,-0.18,-113.93,-1.14
18,Exit long,2023-03-22 18:00,X,1.08985,9155.03,9886.059146,91.55,0.93,91.55,0.93,-20.97,-0.21,-22.38,-0.22
18,Entry long,2023-03-22 11:00,L,1.07985,9155.03,9886.059146,91.55,0.93,91.55,0.93,-20.97,-0.21,-22.38,-0.22
19,Exit long,2023-03-23 18:00,X,1.08308,9168.83,9977.612494,-47.04,-0.47,43.74,0.44,-47.04,-0.47,-69.42,-0.69
19,Entry long,2023-03-22 18:00,L,1.08821,9168.83,9977.612494,-47.04,-0.47,43.74,0.44,-47.04,-0.47,-69.42,-0.69
20,Exit long,2023-03-28 20:00,time,1.08441,9194.55,9930.573727,40.09,0.40,44.32,0.45,-4.6,-0.05,-29.33,-0.29
20,Entry long,2023-03-27 20:00,L,1.08005,9194.55,9930.573727,40.09,0.40,44.32,0.45,-4.6,-0.05,-29.33,-0.29
21,Exit long,2023-03-31 12:00,time,1.08859,9137.76,9970.666824,-23.39,-0.23,13.62,0.14,-43.22,-0.43,-52.73,-0.53
21,Entry long,2023-03-30 12:00,L,1.09115,9137.76,9970.666824,-23.39,-0.23,13.62,0.14,-43.22,-0.43,-52.73,-0.53
22,Exit long,2023-04-05 07:00,time,1.09489,9103.8,9947.26707,20.39,0.21,42.7,0.43,-36.14,-0.36,-32.33,-0.32
22,Entry long,2023-04-04 07:00,L,1.09265,9103.8,9947.26707,20.39,0.21,42.7,0.43,-36.14,-0.36,-32.33,-0.32
23,Exit long,2023-04-12 08:00,time,1.09225,9137.85,9967.658159,13.16,0.13,26.77,0.27,-10.87,-0.11,-19.17,-0.19
23,Entry long,2023-04-11 08:00,L,1.09081,9137.85,9967.658159,13.16,0.13,26.77,0.27,-10.87,-0.11,-19.17,-0.19
24,Exit long,2023-04-13 12:00,time,1.10476,9102.1,9980.816734,74.82,0.75,80.28,0.80,-6.55,-0.07,55.65,0.56
24,Entry long,2023-04-12 12:00,L,1.09654,9102.1,9980.816734,74.82,0.75,80.28,0.80,-6.55,-0.07,55.65,0.56
25,Exit long,2023-04-14 13:00,time,1.10292,9087.05,10055.63866,-33.35,-0.33,9.18,0.09,-42.98,-0.43,22.3,0.22
25,Entry long,2023-04-13 13:00,L,1.10659,9087.05,10055.63866,-33.35,-0.33,9.18,0.09,-42.98,-0.43,22.3,0.22
26,Exit long,2023-04-25 12:00,time,1.1016,9091.09,10022.29035,-7.55,-0.08,38.91,0.39,-13.36,-0.13,14.75,0.15
26,Entry long,2023-04-24 12:00,L,1.10243,9091.09,10022.29035,-7.55,-0.08,38.91,0.39,-13.36,-0.13,14.75,0.15
27,Exit long,2023-04-26 15:00,X,1.10352,9033.28,10014.74587,-46.34,-0.46,0,0.00,-46.34,-0.46,-31.59,-0.32
27,Entry long,2023-04-26 13:00,L,1.10865,9033.28,10014.74587,-46.34,-0.46,0,0.00,-46.34,-0.46,-31.59,-0.32
28,Exit long,2023-05-04 06:00,time,1.10741,9035.82,9968.406982,37.95,0.38,54.12,0.54,-9.13,-0.09,6.36,0.06
28,Entry long,2023-05-03 06:00,L,1.10321,9035.82,9968.406982,37.95,0.38,54.12,0.54,-9.13,-0.09,6.36,0.06
